unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,NLD,Netherlands(Kingdomofthe),MCV2,81,85,90,89,90,89,90,91,92,93,92,93,93,92,93,93,92,92,93,98,98,96,,
Non-programme,NZL,NewZealand,MCV2,84,83,82,91,90,90,90,89,87,86,86,85,86,,,,,,,,,,,
LACR,NIC,Nicaragua,MCV2,95,99,83,98,99,95,84,,,,,,,,,,,,,,,,,
WCAR,NER,Niger,MCV2,68,42,66,60,58,48,46,31,16,3,,,,,,,,,,,,,,
WCAR,NGA,Nigeria,MCV2,38,38,38,38,9,,,,,,,,,,,,,,,,,,,
EAPR,NIU,Niue,MCV2,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,99,99,70,99,86,90,99,99
ECAR,MKD,NorthMacedonia,MCV2,88,89,80,68,94,94,97,93,93,96,96,96,98,99,97,95,95,96,95,95,97,95,94,95
Non-programme,NOR,Norway,MCV2,94,94,95,95,95,93,91,91,91,92,91,91,94,97,96,95,93,91,91,90,89,90,90,90
MENA,OMN,Oman,MCV2,99,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,95,97,97,98,98,98,99,99
ROSA,PAK,Pakistan,MCV2,80,79,79,77,74,67,67,67,54,48,43,42,38,34,30,,,,,,,,,
EAPR,PLW,Palau,MCV2,89,85,84,83,88,75,77,95,82,81,98,86,83,39,79,77,83,98,95,98,94,90,83,75
LACR,PAN,Panama,MCV2,73,75,75,74,97,99,93,93,92,90,68,72,81,73,76,79,83,86,89,89,89,88,88,88
EAPR,PNG,PapuaNewGuinea,MCV2,41,25,20,27,20,,,,,,,,,,,,,,,,,,,
LACR,PRY,Paraguay,MCV2,57,53,67,72,83,83,82,87,72,76,76,75,78,77,77,84,74,61,31,,,,,
LACR,PER,Peru,MCV2,66,54,60,52,66,67,67,68,63,44,54,63,70,56,42,17,9,,,,,,,
EAPR,PHL,Philippines,MCV2,69,64,55,68,70,65,64,62,57,54,54,42,36,10,19,,,,,,,,,
Non-programme,POL,Poland,MCV2,86,86,86,86,91,92,93,93,94,95,93,95,95,94,95,97,98,99,90,96,97,97,96,96
Non-programme,PRT,Portugal,MCV2,95,96,95,95,96,96,95,95,95,96,96,96,96,95,95,95,95,95,87,79,72,64,56,48
MENA,QAT,Qatar,MCV2,99,99,99,88,98,95,93,92,91,95,99,99,99,98,99,95,91,87,98,95,91,91,,
Non-programme,KOR,RepublicofKorea,MCV2,96,95,95,95,96,97,97,97,97,96,95,97,98,98,99,99,99,99,99,99,95,95,67,39
ECAR,MDA,RepublicofMoldova,MCV2,93,93,92,93,95,96,92,95,90,93,94,95,96,98,98,97,95,99,98,98,96,69,,
ECAR,ROU,Romania,MCV2,62,71,75,75,76,81,75,76,80,84,88,90,91,93,94,95,96,96,96,96,97,97,97,96
Non-programme,RUS,RussianFederation,MCV2,97,97,96,96,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,96,93,88,86
ESAR,RWA,Rwanda,MCV2,88,91,85,91,92,96,95,90,87,,,,,,,,,,,,,,,
LACR,KNA,SaintKittsandNevis,MCV2,94,93,94,99,98,96,95,96,90,90,94,90,99,99,99,94,95,96,97,98,98,99,99,99
LACR,LCA,SaintLucia,MCV2,83,63,66,71,75,68,73,88,95,79,62,80,72,74,63,22,33,45,56,67,69,71,73,89
LACR,VCT,SaintVincentandtheGrenadines,MCV2,92,99,94,99,99,99,99,99,99,98,96,92,91,89,94,94,83,88,93,73,86,99,99,
EAPR,WSM,Samoa,MCV2,75,45,50,59,59,28,54,54,55,68,74,52,50,30,14,46,36,6,26,45,65,84,,
Non-programme,SMR,SanMarino,MCV2,79,85,81,79,79,84,78,81,86,86,85,89,92,90,92,92,94,94,94,94,94,,,
WCAR,STP,SaoTomeandPrincipe,MCV2,90,80,69,75,81,76,76,76,76,71,,,,,,,,,,,,,,
MENA,SAU,SaudiArabia,MCV2,96,98,97,96,96,97,96,96,96,98,99,98,97,98,98,98,98,97,97,97,97,96,96,
WCAR,SEN,Senegal,MCV2,64,64,64,63,63,62,59,57,54,13,,,,,,,,,,,,,,
ECAR,SRB,Serbia,MCV2,91,89,86,84,91,90,91,90,86,91,82,90,90,91,87,97,96,90,98,96,96,75,74,78
Non-programme,SYC,Seychelles,MCV2,89,98,86,99,99,97,99,99,98,98,97,99,99,98,99,98,99,99,99,99,99,99,98,
WCAR,SLE,SierraLeone,MCV2,73,73,67,67,72,64,55,50,60,,,,,,,,,,,,,,,
Non-programme,SGP,Singapore,MCV2,92,92,93,94,92,91,90,88,90,90,90,95,96,96,96,96,96,96,95,96,96,96,96,98
Non-programme,SVK,Slovakia,MCV2,95,96,96,98,98,97,97,97,98,98,99,99,99,99,99,99,98,99,98,98,99,99,99,99
Non-programme,SVN,Slovenia,MCV2,89,92,91,91,94,94,94,93,96,94,95,96,96,96,98,98,98,99,99,99,98,98,98,98
EAPR,SLB,SolomonIslands,MCV2,48,90,40,51,54,54,,,,,,,,,,,,,,,,,,
ESAR,SOM,Somalia,MCV2,13,8,4,,,,,,,,,,,,,,,,,,,,,
ESAR,ZAF,SouthAfrica,MCV2,84,87,82,76,79,75,78,69,59,55,50,53,54,55,63,54,49,53,48,51,52,46,54,62
Non-programme,ESP,Spain,MCV2,92,92,91,94,94,94,93,95,94,93,91,90,91,92,90,94,95,94,92,91,,,,
ROSA,LKA,SriLanka,MCV2,99,98,97,96,99,99,99,99,99,99,99,99,99,99,97,97,97,98,99,95,90,92,52,
MENA,PSE,StateofPalestine,MCV2,89,93,99,99,99,99,99,99,99,99,98,97,95,94,97,99,87,92,97,94,94,93,94,95
MENA,SDN,Sudan,MCV2,38,51,63,68,74,72,72,69,69,61,57,24,,,,,,,,,,,,
LACR,SUR,Suriname,MCV2,52,51,43,24,32,31,32,34,21,15,15,,,,,,,,,,,,,
Non-programme,SWE,Sweden,MCV2,92,91,91,92,93,94,95,95,95,95,95,95,95,94,95,94,95,95,95,95,95,94,94,94
Non-programme,CHE,Switzerland,MCV2,91,94,94,93,90,90,90,87,87,87,86,86,86,83,83,83,71,71,71,,,,,
